Data set,All Authors affiliated with Dartmouth College,,,,,,,,,,
Entity,Dartmouth College,,,,,,,,,,
Year range,2013 to >2023,,,,,,,,,,
Types of publications included,all publication types,,,,,,,,,,
Self-citations,included,,,,,,,,,,
,,,,,,,,,,,
Data source,Scopus,,,,,,,,,,
Date last updated,12-Jun-24,,,,,,,,,,
,,,,,,,,,,,
Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Output in Top 10% Citation Percentiles (field-weighted),Oldest publication (since 1996),Scopus author ID,Scopus author profile,Primary author affiliation
"Jacobson, Nicholas C.",82,2024,1073,13.1,2.14,27,28,2020,37761530000,https://www.scopus.com/authid/detail.url?authorId=37761530000,Dartmouth College
"Lurie, Jon D.N.",82,2024,2842,34.7,1.65,57,43,2000,7007111708,https://www.scopus.com/authid/detail.url?authorId=7007111708,Dartmouth College
"Zhang, Rongxiao",81,2024,1859,23,1.93,28,24,2012,55156709300,https://www.scopus.com/authid/detail.url?authorId=55156709300,New York Medical College
"Woloshin, Steven",79,2024,3310,41.9,4.04,58,59,1999,7004775848,https://www.scopus.com/authid/detail.url?authorId=7004775848,Dartmouth College
"Andrew, Angeline S.",79,2024,2081,26.3,1.5,49,29,1999,7102640658,https://www.scopus.com/authid/detail.url?authorId=7102640658,Dartmouth College
"Denton, Richard E.",78,2024,1229,15.8,1.07,36,11,1996,7102561656,https://www.scopus.com/authid/detail.url?authorId=7102561656,Dartmouth College
"Shubitidze, Fridon I.",77,2023,372,4.8,0.88,20,36,2000,6701703673,https://www.scopus.com/authid/detail.url?authorId=6701703673,Dartmouth College
"Goodney, Philip P.",76,2023,2194,28.9,1.62,59,26,2002,6701669625,https://www.scopus.com/authid/detail.url?authorId=6701669625,Department of Veterans Affairs
"Cramer, Robert A.",76,2024,3771,49.6,1.7,48,18,2012,7102501409,https://www.scopus.com/authid/detail.url?authorId=7102501409,Dartmouth College
"Wong, Sandra L.",76,2024,2617,34.4,1.87,58,12,2016,57870664500,https://www.scopus.com/authid/detail.url?authorId=57870664500,Dartmouth College
"Roth, Robert M.",76,2024,2035,26.8,1.63,39,25,2003,57211476092,https://www.scopus.com/authid/detail.url?authorId=57211476092,Unknown affiliation
"Ayres, Matthew P.",74,2024,1962,26.5,1.52,40,20,1996,7005230014,https://www.scopus.com/authid/detail.url?authorId=7005230014,Dartmouth College
"Aschbrenner, Kelly A.",74,2024,3115,42.1,2.82,29,20,2010,15757105600,https://www.scopus.com/authid/detail.url?authorId=15757105600,Dartmouth College
"Tosteson, Tor Devin",73,2024,3922,53.7,2.23,67,50,1996,7005026459,https://www.scopus.com/authid/detail.url?authorId=7005026459,Dartmouth College
"Weeks, William Brinson",72,2020,1440,20,1.23,39,31,1998,7102902623,https://www.scopus.com/authid/detail.url?authorId=7102902623,Microsoft USA
"Bruce, Martha L.",72,2024,1257,17.5,1.05,64,10,2015,7201859223,https://www.scopus.com/authid/detail.url?authorId=7201859223,Dartmouth College
"Leyenaar, Jo Anna K.",72,2024,695,9.7,2.15,23,18,2017,7801481330,https://www.scopus.com/authid/detail.url?authorId=7801481330,Dartmouth College
"Roberts, David W.",72,2024,1703,23.7,1.29,50,29,1997,14023621200,https://www.scopus.com/authid/detail.url?authorId=14023621200,Dartmouth College
